Year,Country,no of AI Research Publication,GDP Per Capita,Total number of All Research Publication
1980,AFG,0,272.6555102,0
1981,AFG,0,264.1111971,0
1982,AFG,0,260.0785963,0
1983,AFG,0,256.0459954,0
1984,AFG,0,252.0133946,1
1985,AFG,0,247.9807937,0
1986,AFG,0,243.9481929,1
1987,AFG,0,239.915592,0
1988,AFG,0,235.8829912,0.25
1989,AFG,0,231.8503903,1
1990,AFG,0,227.8177895,0
1991,AFG,0,223.7851886,0
1992,AFG,0,219.7525878,0
1993,AFG,0,215.7199869,0
1994,AFG,0,211.687386,0
1995,AFG,0,207.6547852,0.25
1996,AFG,0,203.6221843,0.25
1997,AFG,0,199.5895835,0
1998,AFG,0,195.5569826,0
1999,AFG,0,191.5243818,0
2000,AFG,0,187.4917809,0
2001,AFG,0,183.4591801,0
2002,AFG,0,179.4265792,0.3333333333
2003,AFG,0,190.6838143,1
2004,AFG,0,211.3820742,2
2005,AFG,0,242.0313132,0
2006,AFG,0,263.7336019,5.166666667
2007,AFG,0,359.6931579,4
2008,AFG,0.8333333333,364.660679,2.833333333
2009,AFG,1,438.0761424,11.02424242
2010,AFG,0,543.3029674,6.727777778
2011,AFG,0,591.1627983,7.894444444
2012,AFG,0,641.871438,10.91481199
2013,AFG,0,637.165464,9.04047619
2014,AFG,1.385964912,613.8565052,13.10273605
2015,AFG,0,578.4663529,14.45104428
2016,AFG,1.75,509.2201005,15.98226633
2017,AFG,3.666666667,519.8889126,32.99905511
2018,AFG,2.730952381,493.7565814,53.33566009
2019,AFG,13.31976714,507.1033919,83.13453154
2020,AFG,12.2547619,508.8084095,143.3638709
2021,AFG,17.54404762,508.8084095,182.6077867
1980,AGO,0,711.4095786,5
1981,AGO,0.5,642.7681968,5
1982,AGO,1,620.3331234,1
1983,AGO,0,623.8153624,1
1984,AGO,2,638.0990068,5
1985,AGO,0,758.7450632,1
1986,AGO,1,685.7281277,9
1987,AGO,0.25,756.7679262,7.75
1988,AGO,0,792.8330172,8
1989,AGO,1,891.1492803,9.833333333
1990,AGO,0,948.338178,5
1991,AGO,3,774.0232206,7
1992,AGO,2.2,599.7082632,13.93333333
1993,AGO,2.5,425.3933058,15.625
1994,AGO,1,251.0783484,15.83939394
1995,AGO,2,398.7909982,14.45833333
1996,AGO,1.5,522.6796243,19.16666667
1997,AGO,2,514.3851744,26.11666667
1998,AGO,5.214285714,423.619049,22.54761905
1999,AGO,5.785714286,387.7851241,25.59047619
2000,AGO,14.33333333,556.8386317,40.975
2001,AGO,6.166666667,527.3335285,42.84126984
2002,AGO,3.5,872.4944418,23.21715686
2003,AGO,1,982.9610078,36.85763305
2004,AGO,5.666666667,1255.564513,34.01587302
2005,AGO,4.916666667,1902.42215,46.64259259
2006,AGO,6.75,2599.565948,42.99387509
2007,AGO,9.914285714,3121.996085,52.02420635
2008,AGO,6.533333333,4080.941034,48.34801587
2009,AGO,7.116666667,3122.781599,43.31468254
2010,AGO,6.95,3587.883645,71.65357143
2011,AGO,6.583333333,4615.468219,55.27734111
2012,AGO,9.283333333,5100.097027,84.81877611
2013,AGO,7.283333333,5254.881126,57.22846639
2014,AGO,5.20075188,5408.4117,100.8718766
2015,AGO,8.9,4166.979833,71.40019841
2016,AGO,12.00714286,3506.073128,71.52381651
2017,AGO,3.426190476,4095.810057,66.29136839
2018,AGO,9.333333333,3289.643995,75.88424324
2019,AGO,7.89047619,2809.626088,92.51087569
2020,AGO,7.006318681,1895.770869,93.99544971
2021,AGO,10.80535714,1895.770869,90.54532553
1980,ALB,1,637.9600415,4.5
1981,ALB,0,638.3412151,0
1982,ALB,0,638.7223887,0.5
1983,ALB,0,639.1035623,4.666666667
1984,ALB,0,639.4847358,3
1985,ALB,1,639.8659094,6.583333333
1986,ALB,2.5,693.8734746,7.25
1987,ALB,0.5,674.7933831,2.583333333
1988,ALB,0,652.7743214,1
1989,ALB,0.5,697.9955966,5
1990,ALB,0,617.2304355,2.333333333
1991,ALB,1,336.5869945,1
1992,ALB,2.5,200.8522198,8.166666667
1993,ALB,1.666666667,367.2792251,14.71428571
1994,ALB,0.75,586.4163396,2.75
1995,ALB,0.2,750.6044492,9.366666667
1996,ALB,2,1009.977668,13.91666667
1997,ALB,0,717.3805674,8.583333333
1998,ALB,0.5,813.7902636,10.71666667
1999,ALB,1,1033.241693,7.6
2000,ALB,0,1126.683318,10.06666667
2001,ALB,1.833333333,1281.659393,10.36666667
2002,ALB,3.5,1425.124849,15.625
2003,ALB,0,1846.118813,12.43333333
2004,ALB,1.666666667,2373.579844,16.96904762
2005,ALB,1.5,2673.787283,14.25952381
