Year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Azerbaijan,Bahrain,Bangladesh,Belarus,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,CÃ´te dâ€™Ivoire,Cambodia,Cameroon,Canada,Chad,Chile,China,Chinese Taipei,Colombia,Congo,Costa Rica,Cuba,Democratic Peopleâ€™s Republic of Korea,Dominican Republic,DR Congo,Ecuador,Egypt,El Salvador,Eritrea,Eswatini (Swaziland),Ethiopia,EU (27),Gabon,Gambia,Georgia,Ghana,Guatemala,Guinea,Guinea-Bissau,Haiti,Honduras,Hong Kong (China),India,Indonesia,Iran,Iraq,Israel,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Korea,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Nepal,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Puerto Rico,Qatar,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Somalia,South Africa,Sri Lanka,Sudan,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Viet Nam,Yemen,Zambia,Zimbabwe
1980,0,1,0,0,19.5,0,498.7166667,1,1.5,0,12.5,0,0,0,0,69.5,0,0,0,1,0,1056.817857,0,7.583333333,14.30952381,27.33333333,4.5,0,0,0,0,0,0,6,25.58333333,0,0,0,0,2364.684359,0,0,0,3,0,0,0,0,0,22.5,298.5,1.5,10.83333333,6,225.8575758,4.5,807.5021761,3,0.333333333,4,32.48076923,6,0,0,2,0,0,0,0,0,4,2.083333333,0,4.2,43.09090909,0,0,0,0,0,1,71,0,1,20,0,62.79090909,0,2,0,1,1,0,1,9.583333333,5.25,0,151.0238095,0,3,0,10.6,1,14.33333333,0,69.83333333,0,2.5,162.7972222,0,0,0,11,0,0,0,0,15.16666667,0,0,23.66666667,12.45,1708.472342,10746.88088,0,0,7.166666667,0,0,2,1
1981,0,0,0,0.5,19.5,2,499.5371212,0,3,2.3,15.5,0,0,1,1,62.86666667,0,0,0,0,0,1031.225,0,16.58333333,30.48333333,42.91666667,2,0,1,0,0,0,0,3,24.75,0,0,0,1.5,2621.916026,0,0,0,7,0,0,0,0,0,25,273.0459207,0.5,7.5,5.5,264.2666667,13.5,922.78166,5.666666667,0,4,32.76190476,4,0,0,4,0,0,2,0,0,6,2,0,6.5,38.66666667,0,0,0,1,0,2.166666667,67.05,0,0,25.03333333,0,70.57142857,0,7.233333333,0,1,1.666666667,0,0,8.480769231,6.833333333,0,133.6261905,0,0,0,7.916666667,3,10.83333333,0,66.83333333,5,1.5,180.9675325,0,0,1,9.666666667,0,0,0,0,8.333333333,0,0,19.42857143,22.25,1697.864286,11740.56502,0,0,7.25,0.2,0,4,1.5
1982,0,0,1,1,13.06666667,1,542.3944444,1,7.375,1,15.5,0.5,0,0,0,93.54761905,0,0,0,0,0,1122.87619,0,21.5,68.33333333,73.41666667,3.833333333,0,0,0.333333333,0,0,0,4,28.75,0,0,0,0.5,2894.932017,0,0,1,2.5,0,0,0,0,0,26.16666667,297.7,1,3,4.833333333,286.2754237,4,1006.402778,8,1,8.5,35.31388889,5.583333333,0,0,7.466666667,0,0,0,0,0,6.666666667,2,0,9.5,36.16666667,0,0,0,1,0,3,81.55952381,0.5,0,33.66666667,0,72.33333333,0,4.333333333,0,1,4.583333333,0,0,9.083333333,9.333333333,0,165,0,6.666666667,2,12.91666667,0.5,12,0,106.6666667,2.333333333,2,182.6166667,2,0,3,6.75,0,0,0,1,8.666666667,0,0,22.25,20.25,1955.949242,12438.06136,1,1,11.9,0,0,0,4
1983,0,0,1,1,13.06666667,1,542.3944444,1,7.375,1,15.5,0.5,0,0,0,93.54761905,0,0,0,0,0,1122.87619,0,21.5,68.33333333,73.41666667,3.833333333,0,0,0.333333333,0,0,0,4,28.75,0,0,0,0.5,2894.932017,0,0,1,2.5,0,0,0,0,0,26.16666667,297.7,1,3,4.833333333,286.2754237,4,1006.402778,8,1,8.5,35.31388889,5.583333333,0,0,7.466666667,0,0,0,0,0,6.666666667,2,0,9.5,36.16666667,0,0,0,1,0,3,81.55952381,0.5,0,33.66666667,0,72.33333333,0,4.333333333,0,1,4.583333333,0,0,9.083333333,9.333333333,0,165,0,6.666666667,2,12.91666667,0.5,12,0,106.6666667,2.333333333,2,182.6166667,2,0,3,6.75,0,0,0,1,8.666666667,0,0,22.25,20.25,1955.949242,12438.06136,1,1,11.9,0,0,0,4
1984,0,0,0,2,25.88333333,4,556.4166667,0,3,2.611111111,12.66666667,0,0.2,0,1.5,75.58333333,0,0,0,1,0,1297.59881,0,32.16666667,74.37222222,103.65,0,0,0,1.25,0,0,0,4.5,37.75,0,0,0,3,3606.273836,0,0,0,1.5,0,0,0,0,0,37.58333333,335.0333333,1.380952381,3.5,1.5,355.4714286,14.5,1265.171909,12,0,1,52.55952381,18.5,0,0,5,1,0,0,0,0,4.333333333,2,0,2.933333333,60.66666667,0,0,0,2,0,2.75,91.3,0,0,42.33333333,0,76.82051282,0,10.55,0,0,4.5,0,3,4.222222222,6.892857143,1,174.8666667,0,15.33333333,0,11.16666667,1,37.75,0,107.7261905,0,2.333333333,209.7738566,2,0,5,8.5,0,0,0,0,23.83333333,0,1.833333333,14,21.5,2253.234475,14208.50701,0,0,11.16666667,0,0.5,1,2.333333333
1985,0,1,1,0,22.26666667,2,640.5833333,0,6.166666667,5.75,11.75,0,0,1,0.333333333,87.53333333,0,0,0,1,1,1474.276984,0,21.30952381,147.5404762,128.9166667,4.333333333,0,0,2,0,0,0.755555556,9.333333333,40.33333333,0,0,0,1.5,4008.509546,0,0,0,7,0,0,0,0,0,48.125,355.9833333,2.416666667,5.5,5.5,338.1792237,6.666666667,1381.078968,5.666666667,0,3.9,70.51666667,15.5,0,0,4.416666667,1,0,1,0,0,11.83333333,1,0,1,47.83333333,0,1,0,2.5,0,3.333333333,114.9444444,0,0,40.5,0,81.50952381,0,10.83333333,0,1.4,2,0,1.333333333,10.83333333,9.5,1.333333333,189.6166667,0,18.75,0,25.13333333,1,43.52380952,0,120.0833333,4,3.833333333,249.40968,1.333333333,0,2.5,9,0,0,0,0,17.83333333,0,0,10.83333333,13,2369.074025,15275.67753,1,0.25,10,0,0,4,2
1986,0,2.5,1.5,1,19.91666667,2.5,711.1757937,1.055555556,2.2,3.5,20.5,0,0,0,2,79.16666667,0,0,0,1.75,0.25,1731.247126,0,30.53333333,177.6957207,165.5,8.333333333,0,1,1,0,0,0,11.23333333,35.33333333,0,0,1,0,4549.232371,0,0,1.055555556,5.5,0,0,0,0,0,37.75,414.2238095,1.75,2,3,395.75,11.7,1652.687302,10.5,0,6,93.33333333,18.75,0,0,5.333333333,0,0,0,0,0,19.83333333,0,0,1,53.8547619,0,1,1.333333333,0,0,5.333333333,97.7,0,0,43.66666667,1,123.6666667,0,9.396480331,0,0,2.333333333,0,2,3.733333333,10.33333333,6,183.9,0,15,0,30.3,0,56.08333333,0,145.1666667,2.5,0,234.9828597,1.5,1,1.5,15.51666667,0,0,0,0.666666667,26,1,1.347222222,28,5.5,2566.06176,16699.13368,0,0,13.95,0,0,0,3
1987,0,0.5,0.333333333,0.25,39.66666667,2.5,753.4809524,0,10,3.8,10.5,0,0,2,0.333333333,92.55,0,1,0,0,1.333333333,1992.404762,0,29,246.5666667,225.0333333,9.5,0,0.5,0,0,0,0,11.5,52.25,0,0,0,2.5,5367.013267,0,0,2,7.333333333,0,0,0,0,0,61.5,438.4261905,1.5,7.5,3.333333333,442.0428571,6.166666667,1794.945238,9.916666667,0,9.333333333,122.0333333,24.33333333,0,0,1.75,0,0,1,0,1,15.16666667,1.333333333,0,0,65.18333333,0,0,0,1,0,4,98.91666667,0,0,46.33333333,0,122.7261905,1.5,7.666666667,0,0,2,0,3.5,9.833333333,10.33333333,5.25,200.2681041,0,29.33333333,0,29.08333333,0,64.33333333,0,156.25,2,1.333333333,290.2594508,2.7,1,2,16.5,0,0,0,0,37.41666667,0,0.333333333,18,14.43333333,3076.807275,19369.9932,1.666666667,0,6.716666667,0.5,0,4,1
1988,0,0,1.5,0,37.53571429,5.5,920.3444444,2,5.5,8.333333333,15,0,0,0,0.833333333,113.5732323,1,1.4,1,0,1,2285.278233,0,42.41666667,521.0333333,294.3833333,10.03333333,0,1,1,0,0,0,9.25,54.96666667,0,0,0,1,6611.025372,0,0,0,5.25,1,0,0,0,0,83.66666667,460.2388889,3.833333333,10.33333333,11.33333333,547.405303,11.91666667,2230.054521,11,0,4.833333333,162,24.33333333,0,0,4,3,0,0,0,1,31.25,4.5,0,0,79.16666667,0,0,0,3,0,2.833333333,137.1111111,0,0,45.66666667,0,139.5678571,1.25,11.26666667,0,1.666666667,0,0,2.166666667,5.833333333,23,4,205.3611111,0,43.25,0,29.90555556,2.5,74.45833333,0,188.5666667,5,1,356.0916667,2.583333333,0,2.5,13.5,0,0,0,1,38.36666667,0,0,19.66666667,25.01944444,3656.889308,23815.9899,1,0,10,0,0,0.5,3.5
1989,0,0.5,0,1,56,8.466666667,945.0880952,3,2.25,4.25,12.75,0,0,4,1,129.1045455,0,0,0,1,0,2501.534387,0,43.33333333,490.510014,389.3159197,17,0,0,2,0,0,0,14,75,0,0,0,1,7448.641738,0,0,4.666666667,5.5,1,0,0,0,0,94.36904762,524.385831,6.833333333,7,7.75,625.1423077,2,2401.223238,20.16666667,0,6.333333333,173.9404762,41.08333333,0,0,1.892857143,1,0,1,0,0,35,4.5,0,0,83.45952381,0,0,0.5,0.333333333,0,2,145.4166667,0,1,49.66666667,0,165.9833333,0,15,0,2,1.4,0,2.666666667,5.666666667,15,3.75,292.9261905,0.333333333,54.41666667,0,20.78571429,1,72.75,0,217.05,5,7,400.0381353,3,0,2.333333333,17.08888889,0,0,0,0.2,64.08333333,0,1,54.83333333,22.78333333,4115.609019,26021.8282,1,0,9.416666667,0,0,0.333333333,4.5
1990,0,0,2,0,44.2,3,1089.866667,1,12.58333333,16,15,0,0,2,3.5,168.3595238,0,0,0,0,2,2786.378923,0,52.66666667,622.5883352,484.4833333,15.34965035,0,1,1.333333333,0,0,0,5.833333333,58.41666667,0,0,0,3,8769.281116,0,0,0,5.25,0,0,0,0,0.333333333,115.0826087,609.4993789,5.277777778,17.75,8.333333333,577.9535714,12.98333333,2917.299204,18.83333333,0,10,215.5143319,39.16666667,0,0,7.666666667,1,0,0,0,2,28.33333333,1,0,0,125.5742424,0,0,0,5,0,4.05,137.45,0,2,47.83333333,0.766666667,170.0922577,2.333333333,32.22857143,0,2.583333333,6.25,0,2.5,12.91666667,9.95,1.5,312.5752581,0,59.16666667,0,37.5,0,131.1666667,0,229.6936508,12.33333333,0.333333333,476.5482212,8,0,5,37.81666667,0,0,0,1.25,91.43690476,0,1,40,18.16666667,4394.648925,28601.99969,1.333333333,0,20,0,0.333333333,1,5.666666667
1991,0,1,1.666666667,3,52.71428571,5.5,1257.512338,2.5,13.16666667,14.5,9.666666667,0,0.333333333,1,5,201.9123377,0,1,0,2,1.25,3101.024626,0,64.775,755.0310041,599.3952381,17.16666667,0,0,1,0,0,0,8.020304569,87.52777778,0,0,0,5.133333333,10003.60395,0,0,0,4.533333333,0,0,0,0,0,123.5741758,694.4278139,7.166666667,22,4,654.0248252,8,3416.643525,17,0.5,11.25,269.0513426,16.16666667,0,0,4,2,0,1,0,0,28.92424242,3.5,0,0,114.1,0,0,3,1.5,0,1.333333333,168.1011905,0,0,47.83333333,0.142857143,225.0746963,2.333333333,38.425,0,3.5,4.833333333,0,1.5,14,19.52619048,2,363.7677423,0,74.25757576,0,38.26666667,0,203.25,0,271.7188862,4.583333333,4,534.7227413,8.166666667,1,1.5,23.83333333,0,0,0,0,94.24171843,0,1,37.10714286,35.75952381,4939.67747,30962.37516,2.9,2.416666667,23.76666667,0,1.7,0.2,4.5
1992,0,2.5,1,2.2,45.15,6.833333333,1471.75,2.833333333,9.776923077,14.75,5,0,0,1,1.5,219.8083333,0,0,0,3.142857143,1,3285.011302,0,68.21666667,974.0008775,780.3166667,20.20833333,0,0,6,0,0,1.166666667,4.021333333,83.64285714,0,0,0,5.5,11732.19762,0,0.142857143,1,8.142857143,3,0,0,0,0,134.6916667,764.4071429,6.5,16.55,2,578.7218489,10.83333333,3551.349347,11.71014493,0,8.333333333,268.5728823,5.333333333,0,0,4.5,1,0,0.666666667,0,3,25.57692308,2,0,0,110.5008772,0,0,6.5,6.166666667,1,4.166666667,188.6,0,0,49.13333333,2,243.6550673,2,29.21666667,0,1,1.5,0,2,10.33333333,19.26754386,1.5,421.558381,0.5,69.33333333,1,34.03333333,0,275.3333333,0,266.0470862,5.333333333,3.5,635.4414749,9,0,5,43.75,0,0,0,1,141.1666667,0,0,62.76666667,50.16666667,5334.377649,32917.68533,5,0,21.39285714,0.5,0,1,10
1993,0,1.666666667,3.833333333,2.5,60.41363636,8.333333333,1680.662755,0.5,20,14.29166667,17.83333333,0,0,1.761904762,6,278.4133117,1,0,0,1,2,3616.051899,0,69.38333333,1166.818528,961.1627289,17.33333333,0,1.25,3.333333333,0,2,1,9,113.2833333,0,0,0,2.5,12568.9001,0,0,2,7.25,1,0,0,0,0,186.8166667,795.3241108,7,26.05357143,5,720.9185921,6.5,4303.292816,10.75,0,18.53846154,391.0702381,18.41666667,0,0,5.333333333,1,0,1,0,2,46.46666667,3,0,1,175.9738095,4,0,2.333333333,10.83333333,0,5.125,256.2535714,0,0,36.65,0,252.3952381,5.083333333,34.16666667,0,1.433333333,4.666666667,0,3.5,19.66666667,20.81851852,1,379.9187118,0,88.91666667,0,39.16666667,0,400.3859944,0,267.5333333,6,2.833333333,615.4252575,4.5,0,2,39.91666667,0,0,0,2,137.2619048,0,0.722222222,82.43333333,57.75,5727.363555,33226.80323,1.5,1,28.66666667,1,0,1,4
